Archaea,Group,Re-label
BRANCHED-CHAIN-AA-SYN-PWY,Amino acid biosynthesis,Amino acid biosynthesis
CALVIN-PWY,Energy production,CO2 fixation
ILEUSYN-PWY,Amino acid biosynthesis,L-isoleucine biosynthesis
NONOXIPENT-PWY,Energy production,Glucose oxidation
P42-PWY,Energy production,Reverse TCA
PWY-3001,Amino acid biosynthesis,L-isoleucine biosynthesis
PWY-3781,Energy production,Aerobic respiration
PWY-5101,Amino acid biosynthesis,L-isoleucine biosynthesis
PWY-5103,Amino acid biosynthesis,L-isoleucine biosynthesis
PWY-5104,Amino acid biosynthesis,L-isoleucine biosynthesis
PWY-5188,Growth and metabolism,Pigment production
PWY-5686,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-6121,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-6122,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-6126,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-6277,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-7111,Energy production,Fermentation
PWY-7208,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-7219,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY-7229,Nucleotide biosynthesis,Nucleotide biosynthesis
PWY0-162,Amino acid biosynthesis,Amino acid biosynthesis
SER-GLYSYN-PWY,Amino acid biosynthesis,Amino acid biosynthesis
THRESYN-PWY,Amino acid biosynthesis,Amino acid biosynthesis
VALSYN-PWY,Amino acid biosynthesis,L-valine biosynthesis