Sample,Transect,Plot,Latitude,Longitude
T1P1,1,30,4.594621,114.379016
T1P2,1,75,4.594327,114.378945
T1P3,1,250,4.592541,114.378326
T1P4,1,900,4.589414,114.375096
T1P5,1,1900,4.582202,114.367934
T2P1,2,30,4.589904,114.384758
T2P2,2,75,4.589721,114.384442
T2P3,2,250,4.588828,114.383996
T2P4,2,900,4.584489,114.379721
T2P5,2,1900,4.577524,114.374317
T3P1,3,30,4.585207,114.390058
T3P2,3,75,4.585273,114.389986
T3P3N,3,250,4.584306,114.389617
T3P4,3,900,4.579311,114.385204
T3P5,3,1900,4.572507,114.378271
T4P1,4,30,4.582147,114.393383
T4P2,4,75,4.581634,114.392992
T4P3N,4,250,4.580341,114.392108
T4P4NEW,4,900,4.577351,114.388503
T4P5,4,1900,4.569679,114.381618
T5P1P3,5,30,4.577336,114.399391
T5P2,5,75,4.577275,114.398887
T5P3,5,250,4.575211,114.397524
T5P4,5,900,4.570573,114.392528
T5P5,5,1900,4.568909,114.390807